ACTIONTYPE,ACTIONDATE,ASSISTANCETYPE,RECORDTYPE,FAIN,AWARDMODIFICATIONAMENDMENTNUM,URI,CORRECTIONLATEDELETEIND,FISCALYEARANDQTRCORRECTION,SAI_NUM,AWARDEEORRECIPIENTLEGALENTITYNAME,AWARDEEORRECIPIENTUNIQUEIDENTIFIER,LEGALENTITYADDRLINE1,LEGALENTITYADDRLINE2,LEGALENTITYADDRLINE3,LEGALENTITYCITYNAME,LEGALENTITYSTATECD,LEGALENTITYZIP5,LEGALENTITYZIPLAST4,LEGALENTITYCOUNTRYCD,LEGALENTITYFOREIGNCITYNAME,LEGALENTITYFOREIGNPROVINCENAME,LEGALENTITYFOREIGNPOSTALCD,LEGALENTITYCONGRESSIONALDISTRICT,BUSINESSTYPES,FUNDINGAGENCYCD,FUNDINGSUBTIERAGENCYCD,FUNDINGOFFICECD,AWARDINGAGENCYCD,AWARDINGSUBTIERAGENCYCD,AWARDINGOFFICECD,CFDA_NUM,PRIMPLACEOFPERFORMANCECD,PRIMPLACEOFPERFORMANCECOUNTRYCD,PRIMPLACEOFPERFORMANCEZIP+4,PRIMPLACEOFPERFORMANCEFOREIGNLOCATIONDESC,PRIMPLACEOFPERFORMANCECONGRESSIONALDISTRICT,AWARDDESC,PERIODOFPERFORMANCESTARTDATE,PERIODOFPERFORMANCECURRENTENDDATE,FEDERALACTIONOBLIGATION,NONFEDERALFUNDINGAMOUNT,FACEVALUEOFDIRECTLOANORLOANGUARANTEE,ORIGINALLOANSUBSIDYCOST,BUSINESSFUNDSINDICATOR
A,20200803,07,2,2874398209,1,,,,SAI Exempt,CARY HORNEMAN,,39994 HIGHWAY 313,,,FORT SMITH,MT,59035,7451,USA,,,,00,PR,073,7300,732990,073,7300,732990,59.008,MT**003,USA,,,00,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,67500.00,9193.50,NON
A,20200803,07,2,2905068208,1,,,,SAI Exempt,CAPITAL PAINTNG COMPANY INC,,2852 NE 65TH AVE SUITE D,,,VANCOUVER,WA,98661,6805,USA,,,,03,R,073,7300,732990,073,7300,732990,59.008,WA**011,USA,,,03,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,64800.00,8825.76,NON
A,20200803,07,2,2886758207,1,,,,SAI Exempt,FLAN-CO GAGE INC,,31 APPLE LANE,,,MEDFORD,NY,11763,4090,USA,,,,01,R,073,7300,732990,073,7300,732990,59.008,NY**103,USA,,,01,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,79400.00,10814.28,NON
A,20200803,07,2,2892348209,1,,,,SAI Exempt,FARNAZ NOURMAND MANAVI,,1664 Benedict Canyon Drive,,,Beverly Hills,CA,90210,2003,USA,,,,33,PR,073,7300,732990,073,7300,732990,59.008,CA**037,USA,,,33,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,39000.00,5311.80,NON
C,20200925,07,2,2892348209,10,,,,SAI Exempt,FARNAZ NOURMAND MANAVI,,1664 Benedict Canyon Drive,,,Beverly Hills,CA,90210,2003,USA,,,,33,PR,073,7300,732990,073,7300,732990,59.008,CA**037,USA,,,33,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,-14000.00,-1906.80,NON
A,20200803,07,2,2925878201,1,,,,SAI Exempt,AMBER SERENA,,11426 SW HENDRIX DR,,,DUNNELLON,FL,34432,5808,USA,,,,02,PR,073,7300,732990,073,7300,732990,59.008,FL**083,USA,,,02,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,78000.00,10623.60,NON
A,20200804,07,2,2948528204,1,,,,SAI Exempt,DOUBLE D COACH INC,,380 POTTS CIR,,,ROOPVILLE,GA,30170,2363,USA,,,,03,R,073,7300,732990,073,7300,732990,59.008,GA**045,USA,,,03,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,20000.00,2724.00,NON
A,20200804,07,2,2960908203,1,,,,SAI Exempt,"RODDA'S HARD ROCK MASONRY, INC.",,34981 SKY RANCH ROAD,,,CARMEL VALLEY,CA,93924,9323,USA,,,,20,R,073,7300,732990,073,7300,732990,59.008,CA**053,USA,,,20,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,110000.00,14982.00,NON
A,20200804,07,2,2962558209,1,,,,SAI Exempt,COLETTE DUBOSE,,608 N SUMMERFIELD AVE,,,BRIDGEPORT,CT,06610,2551,USA,,,,04,PR,073,7300,732990,073,7300,732990,59.008,CT**001,USA,,,04,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,1700.00,231.54,NON
A,20200804,07,2,2967148203,1,,,,SAI Exempt,"AJA TRANSPORT, INC.",,3588 HWY 138 SE #163,,,STOCKBRIDGE,GA,30281,4171,USA,,,,05,R,073,7300,732990,073,7300,732990,59.008,GA**063,USA,,,05,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,149000.00,20293.80,NON
A,20200804,07,2,2986118200,1,,,,SAI Exempt,G C H CORPORATION,,9109 MINGLEWOOD LN,,,MECHANICSVILLE,VA,23116,5832,USA,,,,01,R,073,7300,732990,073,7300,732990,59.008,VA**087,USA,,,04,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,140000.00,19068.00,NON
A,20200804,07,2,2990518205,1,,,,SAI Exempt,ATROPOS INTERNATIONAL CORPORATION,,4109 ASHLAND CREEK LN,,,LEAGUE CITY,TX,77573,3247,USA,,,,14,R,073,7300,732990,073,7300,732990,59.008,TX**167,USA,,,14,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,50000.00,6810.00,NON
A,20200804,07,2,2995248206,1,,,,SAI Exempt,"RNLB INVESTMENTS, LLC",,4356 S TRENTON AVE,,,TULSA,OK,74105,4130,USA,,,,01,R,073,7300,732990,073,7300,732990,59.008,OK**143,USA,,,01,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,20500.00,2792.10,NON
A,20200804,07,2,3009688202,1,,,,SAI Exempt,LOVE LIFE GROUP LLC,,5502 ABERDEEN DRIVE,,,MOUNT LAUREL,NJ,08054,5640,USA,,,,03,R,073,7300,732990,073,7300,732990,59.008,NJ**005,USA,,,03,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,54000.00,7354.80,NON
A,20200804,07,2,3136188208,1,,,,SAI Exempt,SECILY CORBITT,,1200 PORTSMOUTH CT,,,COLLEGE STATION,TX,77845,8629,USA,,,,17,PR,073,7300,732990,073,7300,732990,59.008,TX**041,USA,,,17,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,14900.00,2029.38,NON
A,20200804,07,2,3015268201,1,,,,SAI Exempt,LIZETTE ROCHA,,11555 CULEBRA RD LOT 198,,,SAN ANTONIO,TX,78253,4810,USA,,,,20,PR,073,7300,732990,073,7300,732990,59.008,TX**029,USA,,,20,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,5400.00,735.48,NON
A,20200804,07,2,3027068208,1,,,,SAI Exempt,"T D EDWARDS, INC",,6840 NW 45TH CT,,,LAUDERHILL,FL,33319,4039,USA,,,,20,R,073,7300,732990,073,7300,732990,59.008,FL**011,USA,,,20,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,4900.00,667.38,NON
A,20200804,07,2,3138228200,1,,,,SAI Exempt,KHA TRANSPORT INC,,15 VININGS LAKE DR SW,,,MABLETON,GA,30126,2539,USA,,,,13,R,073,7300,732990,073,7300,732990,59.008,GA**067,USA,,,13,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,29000.00,3949.80,NON
A,20200804,07,2,3140878206,1,,,,SAI Exempt,FIDEL TORRES,,3409 WINDSWEPT DR,,,SUMMERFIELD,NC,27358,9526,USA,,,,06,PR,073,7300,732990,073,7300,732990,59.008,NC**081,USA,,,13,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,90700.00,12353.34,NON
A,20200804,07,2,3152408202,1,,,,SAI Exempt,"AANE, LLC",,88 BLUEBERRY DRIVE,,,STAMFORD,CT,06902,1827,USA,,,,04,R,073,7300,732990,073,7300,732990,59.008,NY**119,USA,,,17,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,45000.00,6129.00,NON
C,20201019,07,2,3152408202,8,,,,SAI Exempt,"AANE, LLC",,88 BLUEBERRY DRIVE,,,STAMFORD,CT,06902,1827,USA,,,,04,R,073,7300,732990,073,7300,732990,59.008,NY**119,USA,,,17,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,-45000.00,-6129.00,NON
A,20200804,07,2,3146478205,1,,,,SAI Exempt,GAISHA WILLIAMS,,204 COUNTY ROAD 875,,,CLANTON,AL,35045,6099,USA,,,,06,PR,073,7300,732990,073,7300,732990,59.008,AL**021,USA,,,06,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,34300.00,4671.66,NON
A,20200804,07,2,3151388207,1,,,,SAI Exempt,PETER KLEIN,,3650 ROUTE 112,,,CORAM,NY,11727,4131,USA,,,,01,PR,073,7300,732990,073,7300,732990,59.008,NY**103,USA,,,01,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,85000.00,11577.00,NON
A,20200804,07,2,3173188207,1,,,,SAI Exempt,"CJM SPORTS, LLC",,1720 Epps Bridge Parkway,,,Athens,GA,30606,6132,USA,,,,10,R,073,7300,732990,073,7300,732990,59.008,GA**219,USA,,,10,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,64700.00,8812.14,NON
A,20200806,07,2,3215308205,1,,,,SAI Exempt,PIVOTAL RECRUITING SOLUTIONS LLC,,520 E MAIN ST,,,FLUSHING,MI,48433,2006,USA,,,,05,R,073,7300,732990,073,7300,732990,59.008,MI**049,USA,,,05,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,30000.00,4086.00,NON
A,20200806,07,2,3218868204,1,,,,SAI Exempt,Rumer,,4205 OAKWOOD AVE,,,SAINT LOUIS,MO,63121,3354,USA,,,,01,R,073,7300,732990,073,7300,732990,59.008,MO**189,USA,,,01,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,11400.00,1552.68,NON
A,20200806,07,2,3219908205,1,,,,SAI Exempt,PROGRESSIVE JANITORIAL CLEANING SERVICE,,6025 Silverleaf Lane,,,Garland,TX,75043,6326,USA,,,,32,R,073,7300,732990,073,7300,732990,59.008,TX**113,USA,,,32,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,35200.00,4794.24,NON
A,20200806,07,2,3220538209,1,,,,SAI Exempt,MIGUEL A. BERGARA,,6204 HOPE ST,,,SIMI VALLEY,CA,93063,4336,USA,,,,25,PR,073,7300,732990,073,7300,732990,59.008,CA**037,USA,,,30,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,63000.00,8580.60,NON
A,20200804,07,2,3239998207,1,,,,SAI Exempt,NORTH STAR SYSTEMS CORP,,416 CHESTNUT RIDGE RD,,,DOVER PLAINS,NY,12522,5728,USA,,,,19,R,073,7300,732990,073,7300,732990,59.008,NY**027,USA,,,19,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,31600.00,4303.92,NON
C,20200909,07,2,3239998207,8,,,,SAI Exempt,NORTH STAR SYSTEMS CORP,,416 CHESTNUT RIDGE RD,,,DOVER PLAINS,NY,12522,5728,USA,,,,19,R,073,7300,732990,073,7300,732990,59.008,NY**027,USA,,,19,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,-31600.00,-4303.92,NON
